Crew ID,Flight ID,Crew Members Name,Airline,DepartureDateTime,ArrivalDateTime
C024,F160,Nadia Al-Fayez,Riyadh Air,2/6/2024 18:31,2/6/2024 19:31
C025,F131,Bilal Al-Ajmi,SaudiGulf Airlines,2/7/2024 12:03,2/7/2024 22:03
C026,F131,Fadia Al-Sabah,SaudiGulf Airlines,2/7/2024 12:03,2/7/2024 22:03
C027,F131,Yara Al-Faris,SaudiGulf Airlines,2/7/2024 12:03,2/7/2024 22:03
C028,F153,Jamal Al-Mansour,Flyadeal Airlines,2/10/2024 6:03,2/10/2024 7:03
C029,F153,Sawsan Al-Zahrani,Flyadeal Airlines,2/10/2024 6:03,2/10/2024 7:03
C030,F153,Ibrahim Al-Khaldi,Flyadeal Airlines,2/10/2024 6:03,2/10/2024 7:03
C001,F150,Fahad Al-Shammari,Riyadh Air,2/15/2024 15:38,2/15/2024 16:38
C002,F150,Noura Al-Dosari,Riyadh Air,2/15/2024 15:38,2/15/2024 16:38
C003,F150,Omar Al-Fahad,Riyadh Air,2/15/2024 15:38,2/15/2024 16:38
C004,F176,Reem Al-Suwaidi,Flynas Airlines,2/16/2024 14:04,2/16/2024 21:04
C005,F176,Abdullah Al-Rashid,Flynas Airlines,2/16/2024 14:04,2/16/2024 21:04
C006,F176,Sara Al-Subaie,Flynas Airlines,2/16/2024 14:04,2/16/2024 21:04
C007,F173,Zayd Al-Harbi,SaudiGulf Airlines,2/16/2024 22:16,2/17/2024 4:16
C008,F173,Laila Al-Mutairi,SaudiGulf Airlines,2/16/2024 22:16,2/17/2024 4:16
C009,F173,Majed Al-Qutub,SaudiGulf Airlines,2/16/2024 22:16,2/17/2024 4:16
C010,F103,Yasmin Al-Sudairy,Flynas Airlines,2/19/2024 0:42,2/19/2024 1:42
C011,F103,Khalid Al-Nashwan,Flynas Airlines,2/19/2024 0:42,2/19/2024 1:42
C012,F103,Mona Al-Saadi,Flynas Airlines,2/19/2024 0:42,2/19/2024 1:42
C013,F168,Saeed Al-Kahtani,Flynas Airlines,2/19/2024 15:28,2/19/2024 17:28
C014,F168,Dima Al-Ahmad,Flynas Airlines,2/19/2024 15:28,2/19/2024 17:28
C015,F168,Tariq Al-Johani,Flynas Airlines,2/19/2024 15:28,2/19/2024 17:28
C016,F132,Rania Al-Ghamdi,Flynas Airlines,2/20/2024 7:57,2/20/2024 14:57
C017,F132,Anas Al-Shahrani,Flynas Airlines,2/20/2024 7:57,2/20/2024 14:57
C018,F132,Samira Al-Salem,Flynas Airlines,2/20/2024 7:57,2/20/2024 14:57
C019,F138,Nabil Al-Qurashi,SaudiGulf Airlines,2/20/2024 8:05,2/20/2024 14:05
C020,F138,Hala Al-Turki,SaudiGulf Airlines,2/20/2024 8:05,2/20/2024 14:05
C021,F138,Zain Al-Otaibi,SaudiGulf Airlines,2/20/2024 8:05,2/20/2024 14:05
C022,F161,Iman Al-Nasser,SaudiGulf Airlines,2/20/2024 20:29,2/20/2024 21:29
C023,F161,Adel Al-Muhanna,SaudiGulf Airlines,2/20/2024 20:29,2/20/2024 21:29
C024,F161,Nadia Al-Fayez,SaudiGulf Airlines,2/20/2024 20:29,2/20/2024 21:29
C025,F148,Bilal Al-Ajmi,SaudiGulf Airlines,2/22/2024 13:20,2/22/2024 20:20
C026,F148,Fadia Al-Sabah,SaudiGulf Airlines,2/22/2024 13:20,2/22/2024 20:20
C027,F148,Yara Al-Faris,SaudiGulf Airlines,2/22/2024 13:20,2/22/2024 20:20
C028,F150,Jamal Al-Mansour,Saudi Airlines,2/24/2024 16:09,2/24/2024 17:09
C029,F150,Sawsan Al-Zahrani,Saudi Airlines,2/24/2024 16:09,2/24/2024 17:09
C030,F150,Ibrahim Al-Khaldi,Saudi Airlines,2/24/2024 16:09,2/24/2024 17:09
C001,F136,Fahad Al-Shammari,Riyadh Air,2/25/2024 14:03,2/25/2024 22:03
C002,F136,Noura Al-Dosari,Riyadh Air,2/25/2024 14:03,2/25/2024 22:03
C003,F136,Omar Al-Fahad,Riyadh Air,2/25/2024 14:03,2/25/2024 22:03
C004,F134,Reem Al-Suwaidi,Saudi Airlines,2/26/2024 21:10,2/27/2024 5:10
C005,F134,Abdullah Al-Rashid,Saudi Airlines,2/26/2024 21:10,2/27/2024 5:10
C006,F134,Sara Al-Subaie,Saudi Airlines,2/26/2024 21:10,2/27/2024 5:10
C007,F120,Zayd Al-Harbi,Riyadh Air,2/27/2024 2:14,2/27/2024 3:14
C008,F120,Laila Al-Mutairi,Riyadh Air,2/27/2024 2:14,2/27/2024 3:14
C009,F120,Majed Al-Qutub,Riyadh Air,2/27/2024 2:14,2/27/2024 3:14
C010,F197,Yasmin Al-Sudairy,Riyadh Air,2/28/2024 17:05,2/29/2024 5:05
C011,F197,Khalid Al-Nashwan,Riyadh Air,2/28/2024 17:05,2/29/2024 5:05
C012,F197,Mona Al-Saadi,Riyadh Air,2/28/2024 17:05,2/29/2024 5:05
C013,F156,Saeed Al-Kahtani,Flynas Airlines,2/29/2024 22:23,2/29/2024 23:23
C014,F156,Dima Al-Ahmad,Flynas Airlines,2/29/2024 22:23,2/29/2024 23:23
C015,F156,Tariq Al-Johani,Flynas Airlines,2/29/2024 22:23,2/29/2024 23:23
