Crew ID,Flight ID,Crew Members Name,Airline,DepartureDateTime,ArrivalDateTime
C027,F100,Yara Al-Faris,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C028,F100,Jamal Al-Mansour,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C029,F100,Sawsan Al-Zahrani,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C030,F100,Ibrahim Al-Khaldi,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C001,F100,Fahad Al-Shammari,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C002,F100,Noura Al-Dosari,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C003,F100,Omar Al-Fahad,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C004,F100,Reem Al-Suwaidi,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C005,F100,Abdullah Al-Rashid,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C006,F100,Sara Al-Subaie,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C007,F100,Zayd Al-Harbi,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C008,F100,Laila Al-Mutairi,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C009,F100,Majed Al-Qutub,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C010,F100,Yasmin Al-Sudairy,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C011,F100,Khalid Al-Nashwan,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C012,F100,Mona Al-Saadi,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C013,F100,Saeed Al-Kahtani,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C014,F100,Dima Al-Ahmad,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C015,F100,Tariq Al-Johani,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C016,F100,Rania Al-Ghamdi,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C017,F100,Anas Al-Shahrani,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C018,F100,Samira Al-Salem,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C019,F100,Nabil Al-Qurashi,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C020,F100,Hala Al-Turki,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C021,F100,Zain Al-Otaibi,Riyadh Air,1/23/2024 6:26,1/23/2024 7:26
C022,F109,Iman Al-Nasser,SaudiGulf Airlines,1/23/2024 10:37,1/23/2024 18:37
C023,F109,Adel Al-Muhanna,SaudiGulf Airlines,1/23/2024 10:37,1/23/2024 18:37
C024,F109,Nadia Al-Fayez,SaudiGulf Airlines,1/23/2024 10:37,1/23/2024 18:37
